step,current_node,u,v,old_cost,new_cost
1,0,0,1,7.719332153309188,7.550039084433409
1,0,0,40,7.719332153309188,7.550039084433409
1,0,1,0,7.719332153309188,7.550039084433409
1,0,1,41,7.568089464073593,7.271541302626373
1,0,40,0,7.719332153309188,7.550039084433409
1,0,40,41,7.644638836495505,7.358862704308823
1,0,41,1,7.568089464073593,7.271541302626373
1,0,41,40,7.644638836495505,7.358862704308823
2,1,1,2,7.568089464073593,7.271541302626373
2,1,2,1,7.568089464073593,7.271541302626373
2,1,2,42,7.257998915267375,6.94108792911808
2,1,41,42,7.490451051584269,7.376083048847667
2,1,42,2,7.257998915267375,6.94108792911808
2,1,42,41,7.490451051584269,7.376083048847667
3,2,2,3,7.257998915267375,6.94108792911808
3,2,3,2,7.257998915267375,6.94108792911808
3,2,3,43,6.782891003999561,6.617274061853249
3,2,42,43,7.171632345910815,7.2374709365191805
3,2,43,3,6.782891003999561,6.617274061853249
3,2,43,42,7.171632345910815,7.2374709365191805
4,3,3,4,6.782891003999561,6.617274061853249
4,3,4,3,6.782891003999561,6.617274061853249
4,3,4,44,6.15011859866631,6.321544591083634
4,3,43,44,6.678808354771181,6.957686799338802
4,3,44,4,6.15011859866631,6.321544591083634
4,3,44,43,6.678808354771181,6.957686799338802
5,4,4,5,6.15011859866631,6.321544591083634
5,4,5,4,6.15011859866631,6.321544591083634
5,4,5,45,5.388457260973041,6.0329262116824065
5,4,44,45,6.018965084084048,6.553668909945912
5,4,45,5,5.388457260973041,6.0329262116824065
5,4,45,44,6.018965084084048,6.553668909945912
6,5,5,6,5.388457260973041,6.0329262116824065
6,5,6,5,5.388457260973041,6.0329262116824065
6,5,6,46,4.54816538320623,5.707371568101437
6,5,45,46,5.225168211556717,6.03924253904334
6,5,46,6,4.54816538320623,5.707371568101437
6,5,46,45,5.225168211556717,6.03924253904334
7,6,6,7,4.54816538320623,5.707371568101437
7,6,7,6,4.54816538320623,5.707371568101437
7,6,7,47,3.694215391713806,5.306507939998021
7,6,46,47,4.356004986927472,5.43295374826491
7,6,47,7,3.694215391713806,5.306507939998021
7,6,47,46,4.356004986927472,5.43295374826491
8,7,7,8,3.694215391713806,5.306507939998021
8,7,8,7,3.694215391713806,5.306507939998021
8,7,8,48,2.896306490054071,4.818099017211775
8,7,47,48,3.486206695013977,4.768735906438036
8,7,48,8,2.896306490054071,4.818099017211775
8,7,48,47,3.486206695013977,4.768735906438036
9,8,8,9,2.896306490054071,4.818099017211775
9,8,9,8,2.896306490054071,4.818099017211775
9,8,9,49,2.2193687681715932,4.2602378473584075
9,8,48,49,2.6934183047745006,4.097518938127408
9,8,49,9,2.2193687681715932,4.2602378473584075
9,8,49,48,2.6934183047745006,4.097518938127408
10,9,9,10,2.2193687681715932,4.2602378473584075
10,9,10,9,2.2193687681715932,4.2602378473584075
10,9,10,50,1.716905694257863,3.6740644693855673
10,9,49,50,2.0462128869671488,3.4768243077166394
10,9,50,10,1.716905694257863,3.6740644693855673
10,9,50,49,2.0462128869671488,3.4768243077166394
11,10,10,11,1.716905694257863,3.6740644693855673
11,10,11,10,1.716905694257863,3.6740644693855673
11,10,11,51,1.4275937738814004,3.115361036055136
11,10,50,51,1.596530408719893,2.956537947429859
11,10,51,11,1.4275937738814004,3.115361036055136
11,10,51,50,1.596530408719893,2.956537947429859
12,50,49,89,2.0462128869671488,3.4768243077166394
12,50,50,90,1.596530408719893,2.956537947429859
12,50,51,91,1.377062360751566,2.572576840450193
12,50,89,49,2.0462128869671488,3.4768243077166394
12,50,89,90,1.7704443472375655,2.585400055285854
12,50,90,50,1.596530408719893,2.956537947429859
12,50,90,89,1.7704443472375655,2.585400055285854
12,50,90,91,1.420750236968826,2.2101360868084012
12,50,91,51,1.377062360751566,2.572576840450193
12,50,91,90,1.420750236968826,2.2101360868084012
13,90,89,129,1.7704443472375655,2.585400055285854
13,90,90,130,1.420750236968826,2.2101360868084012
13,90,91,131,1.3282388831454337,2.0723183363901367
13,90,129,89,1.7704443472375655,2.585400055285854
13,90,129,130,1.5096287361437102,1.7391374072036476
13,90,130,90,1.420750236968826,2.2101360868084012
13,90,130,129,1.5096287361437102,1.7391374072036476
13,90,130,131,1.296470758329316,1.5714996941717774
13,90,131,91,1.3282388831454337,2.0723183363901367
13,90,131,130,1.296470758329316,1.5714996941717774
14,130,129,169,1.5096287361437102,1.7391374072036476
14,130,130,170,1.296470758329316,1.5714996941717774
14,130,131,171,1.3659487645191262,1.71772067309719
14,130,169,129,1.5096287361437102,1.7391374072036476
14,130,169,170,1.3903313675056914,1.1476813090605016
14,130,170,130,1.296470758329316,1.5714996941717774
14,130,170,169,1.3903313675056914,1.1476813090605016
14,130,170,171,1.3355876127247104,1.224167540885517
14,130,171,131,1.3659487645191262,1.71772067309719
14,130,171,170,1.3355876127247104,1.224167540885517
15,170,169,209,1.3903313675056914,1.1476813090605016
15,170,170,210,1.3355876127247104,1.224167540885517
15,170,171,211,1.5760255801083551,1.6513180281901176
15,170,209,169,1.3903313675056914,1.1476813090605016
15,170,209,210,1.5086992332688711,1.0
15,170,210,170,1.3355876127247104,1.224167540885517
15,170,210,209,1.5086992332688711,1.0
15,170,210,211,1.6172048370152812,1.3282123234893275
15,170,211,171,1.5760255801083551,1.6513180281901176
15,170,211,210,1.6172048370152812,1.3282123234893275
16,210,209,249,1.5086992332688711,1.0
16,210,210,250,1.6172048370152812,1.3282123234893275
16,210,211,251,2.012923147266223,1.9958722407228375
16,210,249,209,1.5086992332688711,1.0
16,210,249,250,1.9013801353467827,1.3868448265537747
16,210,250,210,1.6172048370152812,1.3282123234893275
16,210,250,249,1.9013801353467827,1.3868448265537747
16,210,250,251,2.160444085362907,1.947205805989097
16,210,251,211,2.012923147266223,1.9958722407228375
16,210,251,250,2.160444085362907,1.947205805989097
17,250,249,289,1.9013801353467827,1.3868448265537747
17,250,250,290,2.160444085362907,1.947205805989097
17,250,251,291,2.6764020734824716,2.7892995953146595
17,250,289,249,1.9013801353467827,1.3868448265537747
17,250,289,290,2.534417468592632,2.2555130881133123
17,250,290,250,2.160444085362907,1.947205805989097
17,250,290,289,2.534417468592632,2.2555130881133123
17,250,290,291,2.9150928521739514,3.004710324592588
17,250,291,251,2.6764020734824716,2.7892995953146595
17,250,291,290,2.9150928521739514,3.004710324592588
18,251,211,212,2.012923147266223,1.9958722407228375
18,251,212,211,2.012923147266223,1.9958722407228375
18,251,212,252,2.630022521542325,2.830037597847599
18,251,251,252,2.6764020734824716,2.7892995953146595
18,251,252,212,2.630022521542325,2.830037597847599
18,251,252,251,2.6764020734824716,2.7892995953146595
18,251,252,292,3.365471449488239,3.7045291879175353
18,251,291,292,3.5039072591870606,3.943810560270384
18,251,292,252,3.365471449488239,3.7045291879175353
18,251,292,291,3.5039072591870606,3.943810560270384
19,291,290,330,2.9150928521739514,3.004710324592588
19,291,291,331,3.5039072591870606,3.943810560270384
19,291,292,332,4.204579421313099,4.843187277519473
19,291,330,290,2.9150928521739514,3.004710324592588
19,291,330,331,3.772747479214562,4.289844688143966
19,291,331,291,3.5039072591870606,3.943810560270384
19,291,331,330,3.772747479214562,4.289844688143966
19,291,331,332,4.381524557266417,5.249149151169161
19,291,332,292,4.204579421313099,4.843187277519473
19,291,332,331,4.381524557266417,5.249149151169161
20,331,330,370,3.772747479214562,4.289844688143966
20,331,331,371,4.381524557266417,5.249149151169161
20,331,332,372,5.037218589224875,6.058744097071509
20,331,370,330,3.772747479214562,4.289844688143966
20,331,370,371,4.596019122910144,5.513102408407437
20,331,371,331,4.381524557266417,5.249149151169161
20,331,371,370,4.596019122910144,5.513102408407437
20,331,371,372,5.171862978985983,6.423242976750356
20,331,372,332,5.037218589224875,6.058744097071509
20,331,372,371,5.171862978985983,6.423242976750356
21,371,370,410,4.596019122910144,5.513102408407437
21,371,371,411,5.171862978985983,6.423242976750356
21,371,372,412,5.736083568451149,7.0999750193757665
21,371,410,370,4.596019122910144,5.513102408407437
21,371,410,411,5.257779314435168,6.395915098653735
21,371,411,371,5.171862978985983,6.423242976750356
21,371,411,410,5.257779314435168,6.395915098653735
21,371,411,412,5.7517773410825255,7.196638550264403
21,371,412,372,5.736083568451149,7.0999750193757665
21,371,412,411,5.7517773410825255,7.196638550264403
22,411,410,450,5.257779314435168,6.395915098653735
22,411,411,451,5.7517773410825255,7.196638550264403
22,411,412,452,6.1901771491127,7.724497406735391
22,411,450,410,5.257779314435168,6.395915098653735
22,411,450,451,5.678062331345155,6.764460901548113
